Name,Rate,Name,Link,Year,Start_year,End_year,mean_all,mean_last
Skam,196.,Skam,/title/tt5288312/,(2015–2017),2015,2017,8.411627906976742,8.43
The Killing,197.,The Killing,/title/tt1637727/,(2011–2014),2011,2014,8.388636363636364,8.733333333333334
Bates Motel,199.,Bates Motel,/title/tt2188671/,(2013–2017),2013,2017,8.600000000000001,8.91
The Knick,200.,The Knick,/title/tt2937900/,(2014–2015),2014,2015,8.545,8.59
Star Trek,201.,Star Trek,/title/tt0060028/,(1966–1986),1966,1986,7.46375,6.966666666666666
Behzat Ç.: Bir Ankara Polisiyesi,202.,Behzat Ç.: Bir Ankara Polisiyesi,/title/tt1795096/,(2010–2019),2010,2019,8.007619047619047,8.866666666666667
Coupling,203.,Coupling,/title/tt0237123/,(2000–2004),2000,2004,8.549999999999999,7.8500000000000005
Misfits,205.,Misfits,/title/tt1548850/,(2009–2013),2009,2013,7.847368421052631,7.3125
How to Get Away with Murder,206.,How to Get Away with Murder,/title/tt3205802/,(2014–2020),2014,2020,8.58,8.573333333333332
Black Sails,207.,Black Sails,/title/tt2375692/,(2014–2017),2014,2017,8.644736842105264,8.790000000000001
Justice League,209.,Justice League,/title/tt0275137/,(2001–2004),2001,2004,8.186538461538461,8.415384615384616
The Good Wife,210.,The Good Wife,/title/tt1442462/,(2009–2016),2009,2016,8.048076923076923,7.8590909090909085
Veronica Mars,211.,Veronica Mars,/title/tt0412253/,(2004–2019),2004,2019,7.856944444444445,7.9625
The Bugs Bunny Show,212.,The Bugs Bunny Show,/title/tt0053488/,(1960–1975),1960,1975,0.0,0.0
Samurai chanpurû,214.,Samurai chanpurû,/title/tt0423731/,(2004–2005),2004,2005,0.0,0.0
Naruto,215.,Naruto,/title/tt0409591/,(2002–2007),2002,2007,0.0,0.0
M*A*S*H,216.,M*A*S*H,/title/tt0068098/,(1972–1983),1972,1983,0.0,0.0
Jessica Jones,220.,Jessica Jones,/title/tt2357547/,(2015–2019),2015,2019,0.0,0.0
Sarabhai vs Sarabhai,221.,Sarabhai vs Sarabhai,/title/tt1518542/,(2004–2017),2004,2017,0.0,0.0
Kenpû Denki Berserk,222.,Kenpû Denki Berserk,/title/tt0318871/,(1997–1998),1997,1998,0.0,0.0
The Fall,223.,The Fall,/title/tt2294189/,(I) (2013–2016),I) (,013–2016,0.0,0.0
Skins,225.,Skins,/title/tt0840196/,(2007–2013),2007,2013,0.0,0.0
Gilmore Girls,229.,Gilmore Girls,/title/tt0238784/,(2000–2007),2000,2007,0.0,0.0
Carnivàle,231.,Carnivàle,/title/tt0319969/,(2003–2005),2003,2005,0.0,0.0
Boston Legal,232.,Boston Legal,/title/tt0402711/,(2004–2008),2004,2008,0.0,0.0
True Blood,233.,True Blood,/title/tt0844441/,(2008–2014),2008,2014,0.0,0.0
Ezel,237.,Ezel,/title/tt1534360/,(2009–2011),2009,2011,0.0,0.0
Pushing Daisies,238.,Pushing Daisies,/title/tt0925266/,(2007–2009),2007,2009,0.0,0.0
The Morning Show,239.,The Morning Show,/title/tt7203552/,(I) (2019– ),I) (,019– ,0.0,0.0
Højt spin,240.,Højt spin,/title/tt0459159/,(2005–2012),2005,2012,0.0,0.0
Schitt's Creek,241.,Schitt's Creek,/title/tt3526078/,(2015–2020),2015,2020,0.0,0.0
Forever,243.,Forever,/title/tt3487382/,(2014–2015),2014,2015,0.0,0.0
The Adventures of Sherlock Holmes,246.,The Adventures of Sherlock Holmes,/title/tt0086661/,(1984–1985),1984,1985,0.0,0.0
Malcolm i midten,248.,Malcolm i midten,/title/tt0212671/,(2000–2006),2000,2006,0.0,0.0
Gotham,249.,Gotham,/title/tt3749900/,(2014–2019),2014,2019,0.0,0.0
Utopia,250.,Utopia,/title/tt2384811/,(I) (2013–2014),I) (,013–2014,0.0,0.0
